,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample936,936,K4,18,2,4,4,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample937,937,K5,18,2,4,4,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample953,953,FMT-YY-D7-S1-1,2,2,7,7,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,111,S,FMT-M,
sample954,954,FMT-YY-D7-S2-1,2,2,7,7,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,112,S,FMT-M,
sample955,955,FMT-YY-D7-S3-1,2,2,7,7,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,113,S,FMT-M,
sample956,956,FMT-YY-D7-S4-1,2,2,7,7,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,114,S,FMT-M,
sample957,957,FMT-YY-D7-S5-1,2,2,7,7,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,115,S,FMT-M,
sample962,962,U1,2,2,7,7,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample963,963,U2,2,2,7,7,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample964,964,U3,2,2,7,7,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample965,965,U4,2,2,7,7,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample966,966,U5,2,2,7,7,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample967,967,FMT-YO-D7-G1-1,18,2,7,7,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,116,G,FMT-UM,
sample968,968,FMT-YO-D7-G2-1,18,2,7,7,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,117,G,FMT-UM,
sample969,969,FMT-YO-D7-G3-1,18,2,7,7,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,118,G,FMT-UM,
sample970,970,FMT-YO-D7-G4-1,18,2,7,7,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,119,G,FMT-UM,
sample971,971,FMT-YO-D7-G5-1,18,2,7,7,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,120,G,FMT-UM,
sample972,972,H1,18,2,7,7,NA,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample973,973,H2,18,2,7,7,NA,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample974,974,H3,18,2,7,7,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample975,975,H4,18,2,7,7,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample976,976,H5,18,2,7,7,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample982,982,V1,2,2,7,7,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample983,983,V2,2,2,7,7,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample984,984,V3,2,2,7,7,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample985,985,V4,2,2,7,7,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample986,986,V5,2,2,7,7,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
